[14/Dec/2015 08:57:34] [django.db.backends:89] (0.000) QUERY = 'UPDATE "auth_user" SET "last_login" = %s WHERE "auth_user"."id" = %s' - PARAMS = ('2015-12-14 08:57:34.744424', 1); args=('2015-12-14 08:57:34.744424', 1)
[14/Dec/2015 08:57:34] [django.db.backends:89] (0.000) QUERY = 'INSERT INTO "defender_accessattempt" ("user_agent", "ip_address", "username", "http_accept", "path_info", "attempt_time", "login_valid") VALUES (%s, %s, %s, %s, %s, %s, %s)' - PARAMS = ('Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0', '192.168.0.1', 'admin', 'text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8', '/admin/login/', '2015-12-14 08:57:34.912187', True); args=['Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0', '192.168.0.1', 'admin', 'text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8', '/admin/login/', '2015-12-14 08:57:34.912187', True]
[14/Dec/2015 08:57:35] [django.db.backends:89] (0.000) QUERY = 'UPDATE "django_session" SET "session_data" = %s, "expire_date" = %s WHERE "django_session"."session_key" = %s' - PARAMS = ('YzhlZGNmNTc0ZTJkODVkODRmMmI4ODMzZmFiMGQwNGVkYTE0OTE1OTp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiNDhhZWI5NDExZTk0ZTEyNjM0ZjY4NWQ2OTA4NWFiYWY2MDhlZjNiNCIsIl9hdXRoX3VzZXJfaWQiOiIxIn0=', '2015-12-28 08:57:35.157350', 'free4ce2hrxyu1oek37o9haosu465ct3'); args=('YzhlZGNmNTc0ZTJkODVkODRmMmI4ODMzZmFiMGQwNGVkYTE0OTE1OTp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiNDhhZWI5NDExZTk0ZTEyNjM0ZjY4NWQ2OTA4NWFiYWY2MDhlZjNiNCIsIl9hdXRoX3VzZXJfaWQiOiIxIn0=', '2015-12-28 08:57:35.157350', 'free4ce2hrxyu1oek37o9haosu465ct3')
[14/Dec/2015 08:57:35] [django.db.backends:89] (0.000) QUERY = 'INSERT INTO "django_session" ("session_key", "session_data", "expire_date") SELECT %s AS "session_key", %s AS "session_data", %s AS "expire_date"' - PARAMS = ('free4ce2hrxyu1oek37o9haosu465ct3', 'YzhlZGNmNTc0ZTJkODVkODRmMmI4ODMzZmFiMGQwNGVkYTE0OTE1OTp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiNDhhZWI5NDExZTk0ZTEyNjM0ZjY4NWQ2OTA4NWFiYWY2MDhlZjNiNCIsIl9hdXRoX3VzZXJfaWQiOiIxIn0=', '2015-12-28 08:57:35.157350'); args=('free4ce2hrxyu1oek37o9haosu465ct3', 'YzhlZGNmNTc0ZTJkODVkODRmMmI4ODMzZmFiMGQwNGVkYTE0OTE1OTp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiNDhhZWI5NDExZTk0ZTEyNjM0ZjY4NWQ2OTA4NWFiYWY2MDhlZjNiNCIsIl9hdXRoX3VzZXJfaWQiOiIxIn0=', '2015-12-28 08:57:35.157350')
[14/Dec/2015 08:57:35] [django.db.backends:89] (0.000) QUERY = 'UPDATE "django_session" SET "session_data" = %s, "expire_date" = %s WHERE "django_session"."session_key" = %s' - PARAMS = ('OWJmNDBmMDBmMDc5OWJhMzFjY2I2YWE1YWIxZmZjYzVlMzBkODU4ODp7Il9zZXNzaW9uX3NlY3VyaXR5IjoiMjAxNS0xMi0xNFQwODo1NzozNS4zODk1NDciLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9hdXRoX3VzZXJfaGFzaCI6IjQ4YWViOTQxMWU5NGUxMjYzNGY2ODVkNjkwODVhYmFmNjA4ZWYzYjQiLCJfYXV0aF91c2VyX2lkIjoiMSJ9', '2015-12-28 08:57:35.449273', 'free4ce2hrxyu1oek37o9haosu465ct3'); args=('OWJmNDBmMDBmMDc5OWJhMzFjY2I2YWE1YWIxZmZjYzVlMzBkODU4ODp7Il9zZXNzaW9uX3NlY3VyaXR5IjoiMjAxNS0xMi0xNFQwODo1NzozNS4zODk1NDciLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9hdXRoX3VzZXJfaGFzaCI6IjQ4YWViOTQxMWU5NGUxMjYzNGY2ODVkNjkwODVhYmFmNjA4ZWYzYjQiLCJfYXV0aF91c2VyX2lkIjoiMSJ9', '2015-12-28 08:57:35.449273', 'free4ce2hrxyu1oek37o9haosu465ct3')
[14/Dec/2015 08:57:35] [django.db.backends:89] (0.000) QUERY = 'UPDATE "django_session" SET "session_data" = %s, "expire_date" = %s WHERE "django_session"."session_key" = %s' - PARAMS = ('YzRlZjc0YWJmZTUwOWRjYmMzZGVmMjQ4ZGMxYzNkZWEzZGZlZTQ0Yjp7Il9hdXRoX3VzZXJfaGFzaCI6IjQ4YWViOTQxMWU5NGUxMjYzNGY2ODVkNjkwODVhYmFmNjA4ZWYzYjQiLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9zZXNzaW9uX3NlY3VyaXR5IjoiMjAxNS0xMi0xNFQwODo1NzozNS43OTMwMjgiLCJfYXV0aF91c2VyX2lkIjoiMSJ9', '2015-12-28 08:57:35.795613', 'free4ce2hrxyu1oek37o9haosu465ct3'); args=('YzRlZjc0YWJmZTUwOWRjYmMzZGVmMjQ4ZGMxYzNkZWEzZGZlZTQ0Yjp7Il9hdXRoX3VzZXJfaGFzaCI6IjQ4YWViOTQxMWU5NGUxMjYzNGY2ODVkNjkwODVhYmFmNjA4ZWYzYjQiLCJfYXV0aF91c2VyX2JhY2tlbmQiOiJkamFuZ28uY29udHJpYi5hdXRoLmJhY2tlbmRzLk1vZGVsQmFja2VuZCIsIl9zZXNzaW9uX3NlY3VyaXR5IjoiMjAxNS0xMi0xNFQwODo1NzozNS43OTMwMjgiLCJfYXV0aF91c2VyX2lkIjoiMSJ9', '2015-12-28 08:57:35.795613', 'free4ce2hrxyu1oek37o9haosu465ct3')
[14/Dec/2015 08:57:38] [django.db.backends:89] (0.000) QUERY = 'DELETE FROM "django_session" WHERE "django_session"."session_key" IN (%s)' - PARAMS = ('ocs5an1762chacwu6nlxzghacomh870h',); args=('ocs5an1762chacwu6nlxzghacomh870h',)
[14/Dec/2015 09:19:15] [django.db.backends:89] (0.027) QUERY = 'INSERT INTO "django_session" ("session_key", "session_data", "expire_date") SELECT %s AS "session_key", %s AS "session_data", %s AS "expire_date"' - PARAMS = ('9lestkdo5g27exblljcgukzg24hytwuf', 'Njk1NDVlOTVhZDcwZjFhZTBmMDVjY2Y5NzhiY2RiZWYyYTg3NjkzMDp7fQ==', '2015-12-28 09:19:15.779560'); args=('9lestkdo5g27exblljcgukzg24hytwuf', 'Njk1NDVlOTVhZDcwZjFhZTBmMDVjY2Y5NzhiY2RiZWYyYTg3NjkzMDp7fQ==', '2015-12-28 09:19:15.779560')
[14/Dec/2015 09:19:16] [django.db.backends:89] (0.000) QUERY = 'DELETE FROM "django_session" WHERE "django_session"."session_key" IN (%s)' - PARAMS = ('9lestkdo5g27exblljcgukzg24hytwuf',); args=('9lestkdo5g27exblljcgukzg24hytwuf',)
[14/Dec/2015 09:19:16] [django.db.backends:89] (0.000) QUERY = 'UPDATE "auth_user" SET "last_login" = %s WHERE "auth_user"."id" = %s' - PARAMS = ('2015-12-14 09:19:16.668044', 5); args=('2015-12-14 09:19:16.668044', 5)
[14/Dec/2015 09:19:16] [django.db.backends:89] (0.008) QUERY = 'INSERT INTO "defender_accessattempt" ("user_agent", "ip_address", "username", "http_accept", "path_info", "attempt_time", "login_valid") VALUES (%s, %s, %s, %s, %s, %s, %s)' - PARAMS = ('Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:42.0) Gecko/20100101 Firefox/42.0', '192.168.0.1', 'mrad', 'text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8', '/validate/', '2015-12-14 09:19:16.878138', True); args=['Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:42.0) Gecko/20100101 Firefox/42.0', '192.168.0.1', 'mrad', 'text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8', '/validate/', '2015-12-14 09:19:16.878138', True]
